id	chamber_type_code	pref_code	district_number	name
266d48ff4e501e69	1	27	10	大阪府第10区
36595d4ad208a649	1	27	11	大阪府第11区
9479bbab64308ce0	1	27	12	大阪府第12区
885bec1d0a921e9e	1	27	13	大阪府第13区
b4e2f3688c0ea848	1	27	14	大阪府第14区
df403dc0afaef678	1	27	15	大阪府第15区
235e6c042e468a0a	1	27	16	大阪府第16区
2a3cbbddfc152763	1	27	17	大阪府第17区
d1e52f2d2f97f660	1	27	18	大阪府第18区
73239c2f5cbc80a7	1	27	19	大阪府第19区
c2a824544a0afd72	1	28	1	兵庫県第1区
3ac84a0522260668	1	28	2	兵庫県第2区
c47affb712a521d4	1	28	3	兵庫県第3区
da9570a2a77104e5	1	28	4	兵庫県第4区
6fa0b9010de4170d	1	28	5	兵庫県第5区
2adf89afa76f370d	1	28	6	兵庫県第6区
065f4fa6723db908	1	28	7	兵庫県第7区
c999d2c4092b50ce	1	28	8	兵庫県第8区
0e0c8d9c5fa46e66	1	28	9	兵庫県第9区
665b4bd9bae841df	1	28	10	兵庫県第10区
3ab8cc4279536204	1	28	11	兵庫県第11区
a40826716c0301fb	1	28	12	兵庫県第12区
a9b9bd8e0ec83c83	1	29	1	奈良県第1区
400b6feaba943599	1	29	2	奈良県第2区
587a490557627756	1	29	3	奈良県第3区
0f2cb44170f42cc9	1	30	1	和歌山県第1区
ee47968ec53bbe68	1	30	2	和歌山県第2区
7611f1a57f80b0a8	1	31	1	鳥取県第1区
712dca40936b39ce	1	31	2	鳥取県第2区
fc61dd3e648333d1	1	32	1	島根県第1区
6d62aa4b52071e39	1	32	2	島根県第2区
7ba7d31bfa1ed863	1	33	1	岡山県第1区
24fd7e2735af1854	1	33	2	岡山県第2区
6fdd9b073bc00a5d	1	33	3	岡山県第3区
eb43272640b26921	1	33	4	岡山県第4区
866cf6ce0c520950	1	34	1	広島県第1区
1c0e147e6071fdf6	1	34	2	広島県第2区
2b0ebe245db547be	1	34	3	広島県第3区
aa13fda43018c393	1	34	4	広島県第4区
8d30c67819310525	1	34	5	広島県第5区
5631e5efadc1db19	1	34	6	広島県第6区
ed6f2060379b3b21	1	35	1	山口県第1区
9d551151d7152670	1	35	2	山口県第2区
04ad22d7630382dd	1	35	3	山口県第3区
2ee1a4c2b1f11f0c	1	36	1	徳島県第1区
a2cdc3e5a34ca732	1	36	2	徳島県第2区
b2493a6306594432	1	37	1	香川県第1区
a2144767f33525b4	1	37	2	香川県第2区
16c6411a67ff85c3	1	37	3	香川県第3区
a39ff608d7c5bc24	1	38	1	愛媛県第1区
479f16c2905bae7b	1	38	2	愛媛県第2区
6495da527bb644b4	1	38	3	愛媛県第3区
01d77b0b1bd2fecc	1	39	1	高知県第1区
01b23136ea7f9f8b	1	39	2	高知県第2区
afd679cd3f9a81fd	1	40	1	福岡県第1区
5626696e19ac4b81	1	40	2	福岡県第2区
e8026bda3ea2eedc	1	40	3	福岡県第3区
a8fd7dc0e1bf7187	1	40	4	福岡県第4区
ae600959378c54c5	1	40	5	福岡県第5区
1326c6c44cc5e89c	1	40	6	福岡県第6区
a3346b8b4c26feb6	1	40	7	福岡県第7区
f8a5da214f3f6c28	1	40	8	福岡県第8区
efe8564971192c24	1	40	9	福岡県第9区
08f28a84969483b1	1	40	10	福岡県第10区
8709d6cc57a3d7cb	1	40	11	福岡県第11区
90dbca35cc682d5b	1	41	1	佐賀県第1区
8ba36ede1aa545ad	1	41	2	佐賀県第2区
726ec906a90da1f1	1	42	1	長崎県第1区
fd53efd8940f305f	1	42	2	長崎県第2区
e81d47bc1914daac	1	42	3	長崎県第3区
ffab53082b58bed6	1	43	1	熊本県第1区
1c053d3970411ca6	1	43	2	熊本県第2区
38c02f46b5785559	1	43	3	熊本県第3区
95fc6cd8aeb992c4	1	43	4	熊本県第4区
497e671df1de83a4	1	44	1	大分県第1区
8fd238119777a31e	1	44	2	大分県第2区
298647699bcb31c2	1	44	3	大分県第3区
2a3d253e5273a3e6	1	45	1	宮崎県第1区
abe6c5838bf22b82	1	45	2	宮崎県第2区
53d2dd2504402eec	1	45	3	宮崎県第3区
4cd468501fc1a553	1	46	1	鹿児島県第1区
3e6ce2279a7dc8bb	1	46	2	鹿児島県第2区
757b6b66ed184438	1	46	3	鹿児島県第3区
4753e699ede61517	1	46	4	鹿児島県第4区
f64ee82a9f4a0451	1	47	1	沖縄県第1区
e56ae9ee21661d3f	1	47	2	沖縄県第2区
33bf4329c8460199	1	47	3	沖縄県第3区
3a047b4a81effb2c	1	47	4	沖縄県第4区
7d12ba56e9f8b3dc	2	01	0	北海道選挙区
73a2af8864fc500f	2	02	0	青森県選挙区
8e1f192fe25ad49b	2	03	0	岩手県選挙区
df34d853f2f2f1f1	2	04	0	宮城県選挙区
7850e83feab6c3cc	2	05	0	秋田県選挙区
28e7234668777f9e	2	06	0	山形県選挙区
06c973e49be9fdbf	2	07	0	福島県選挙区
4e49800fbc3cefb7	2	08	0	茨城県選挙区
6589ed9b9dd4caa5	2	09	0	栃木県選挙区
4f5131ea0c5a3e7f	2	10	0	群馬県選挙区
17dc3303cd10e082	2	11	0	埼玉県選挙区
016562d2d357325c	2	12	0	千葉県選挙区
bf7f42e134799ab4	2	13	0	東京都選挙区
920a6421f4b7573c	2	14	0	神奈川県選挙区
81b187544ef8734d	2	15	0	新潟県選挙区
fa66df2f99cec3fe	2	16	0	富山県選挙区
9a1b6288c1d0bb97	2	17	0	石川県選挙区
25dbd7ca6d959934	2	18	0	福井県選挙区
5183d65cc71ba701	2	19	0	山梨県選挙区
2f8375d2a98f83f0	2	20	0	長野県選挙区
4321a844ee760ee6	2	21	0	岐阜県選挙区
230ad27c6e6e2766	2	22	0	静岡県選挙区
903a4207be29cb52	2	23	0	愛知県選挙区
ec3fdcd8136188e3	2	24	0	三重県選挙区
109605b9bd377f6c	2	25	0	滋賀県選挙区
50181e9eff2dc427	2	26	0	京都府選挙区
8e3330aeb5e96211	2	27	0	大阪府選挙区
27bb55ca7d1e8404	2	28	0	兵庫県選挙区
808c9cfebd38d4d9	2	29	0	奈良県選挙区
fc5101a7f55d71e2	2	30	0	和歌山県選挙区
0aef7080e0ce1621	2	33	0	岡山県選挙区
f15a3a5d34619f23	2	34	0	広島県選挙区
8c0b66d905f165b5	2	35	0	山口県選挙区
d0a8a882c042eea0	2	37	0	香川県選挙区
86af1a4e86058806	2	38	0	愛媛県選挙区
8350242b2df439d2	2	40	0	福岡県選挙区
d896af65d5b6b013	2	41	0	佐賀県選挙区
7f5d3582377f050d	2	42	0	長崎県選挙区
f87f6a02d81b2a46	2	43	0	熊本県選挙区
014e9fb03ec3e152	2	44	0	大分県選挙区
b0b03d744a85f445	2	45	0	宮崎県選挙区
4fbb9cf6972a100c	2	46	0	鹿児島県選挙区
1f87635aff05d8cf	2	47	0	沖縄県選挙区
21945e7f31fb51b4	2	31	0	鳥取県及び島根県参議院合同選挙区
ba977edd7884f62c	2	36	0	徳島県及び高知県参議院合同選挙区
